Project.Name,Sale_Year,Postal.Code,Property.Type,Average_Price,Median_Price
# 1 LOFT,2017,398614,Apartment,681777.6,618000
# 1 SUITES,2017,398721,Apartment,630000,630000
1 KING ALBERT PARK,2017,598326,Condominium,1700877.6,1701500
1 MOULMEIN RISE,2017,308143,Apartment,1980000,1980000
10 SHELFORD,2017,288353,Apartment,750000,750000
16 @ AMBER,2017,439866,Apartment,806750,747500
18 WOODSVILLE,2017,357799,Apartment,1429629.333,1500000
183 LONGHAUS,2017,574332,Apartment,1606220.625,1565330
1919,2017,228175,Apartment,1440750,1396500
2 RVG,2017,238405,Apartment,1460000,1500000
21 RICHARDS,2017,546430,Apartment,590000,590000
24 ONE RESIDENCES,2017,118596,Apartment,1268318.625,1241650
26 NEWTON,2017,307957,Apartment,1258889.29,1191058
28 RC SUITES,2017,218746,Apartment,875600,875600
28 SHELFORD,2017,288422,Apartment,1501666.667,1590000
3@PHILLIPS,2017,546920,Apartment,1040000,1040000
3@SANDILANDS,2017,546066,Apartment,1275000,1275000
368 THOMSON,2017,298127,Condominium,1583841.143,1400000
38 I SUITES,2017,438646,Apartment,912500,955000
38 JERVOIS,2017,249078,Apartment,1571581,1571581
3BHC,2017,573999,Semi-Detached House,2830000,2830000
57 @ KOVAN,2017,548147,Apartment,1600000,1600000
6 DERBYSHIRE,2017,309462,Condominium,1591133.602,1403938
76 SHENTON,2017,79119,Apartment,1100522.824,1080000
8 @ MOUNT SOPHIA,2017,228459,Condominium,1845000,2060000
8 @ MOUNT SOPHIA,2017,228462,Condominium,1896666.667,1870000
8 @ MOUNT SOPHIA,2017,228463,Condominium,1492500,1492500
8 EDEN GROVE,2017,539060,Apartment,1180000,1180000
8 NAPIER,2017,258502,Condominium,6906909,6906909
8 RAJA,2017,329217,Apartment,2700000,2700000
8 RODYK,2017,238216,Apartment,1871600,1450000
8@WOODLEIGH,2017,357900,Condominium,1247432,1250000
8@WOODLEIGH,2017,357902,Condominium,993148,1045000
8@WOODLEIGH,2017,357903,Condominium,1608285.714,1620000
8M RESIDENCES,2017,438049,Apartment,1489208,1457734
91 MARSHALL,2017,424887,Apartment,1074000,1074000
A TREASURE TROVE,2017,828779,Condominium,1045972,957500
A TREASURE TROVE,2017,828780,Condominium,982500,925000
A TREASURE TROVE,2017,828781,Condominium,1126666.667,1110000
A TREASURE TROVE,2017,828782,Condominium,1029000,1029000
A TREASURE TROVE,2017,828783,Condominium,1165000,1165000
A TREASURE TROVE,2017,828784,Condominium,1504000,1235000
A TREASURE TROVE,2017,828785,Condominium,1457500,1457500
A TREASURE TROVE,2017,828786,Condominium,1190000,1190000
A TREASURE TROVE,2017,828787,Condominium,898250,852500
A TREASURE TROVE,2017,828788,Condominium,1098200,1088000
A TREASURE TROVE,2017,828830,Condominium,1017000,1060000
A TREASURE TROVE,2017,828831,Condominium,1100000,1100000
A TREASURE TROVE,2017,828832,Condominium,920000,855000
A TREASURE TROVE,2017,828833,Condominium,1043333.333,1050000
AALTO,2017,437980,Condominium,2597666.667,2550000
AALTO,2017,437981,Condominium,3678750,3675000
ADAM PARK CONDOMINIUM,2017,289900,Condominium,1260000,1260000
ADAM PARK CONDOMINIUM,2017,289902,Condominium,1670000,1670000
ADAM PLACE,2017,289882,Apartment,1810000,1810000
ADAM PLACE,2017,289884,Apartment,1240000,1240000
ADANA @ THOMSON,2017,573868,Apartment,1400500,1449000
ADANA @ THOMSON,2017,573869,Apartment,1283020,1413950
ADANA @ THOMSON,2017,573870,Apartment,1201187.5,1271050
ADELPHI PARK ESTATE,2017,578838,Terrace House,2600000,2600000
ADRIA,2017,309466,Apartment,2250000,2270000
AFFLUENCE COURT,2017,539960,Apartment,1050000,1050000
AIRSTREAM,2017,327994,Apartment,591666.6667,610000
AIRVIEW PARK,2017,596330,Terrace House,3600000,3600000
ALBA,2017,229743,Apartment,6300000,6300000
ALEGRIA,2017,307669,Apartment,880000,880000
ALESSANDREA,2017,159967,Apartment,1448333.333,1400000
ALEX RESIDENCES,2017,158744,Apartment,1571545.808,1611223
ALEXIS,2017,159949,Apartment,764743.7778,7.00E+05
ALLSWORTH PARK,2017,278639,Condominium,2700000,2700000
ALLSWORTH PARK,2017,278640,Condominium,1540000,1540000
ALPHA APARTMENTS,2017,427037,Apartment,1145000,1145000
ALTEZ,2017,79717,Apartment,1536000,1400000
AMANINDA,2017,307674,Condominium,874000,874000
AMANINDA,2017,307687,Condominium,780000,780000
AMARANDA GARDENS,2017,554773,Condominium,1661472,1620444
AMARANDA GARDENS,2017,554774,Condominium,1773333.333,1800000
AMARANDA GARDENS,2017,554775,Condominium,1624177.6,1620888
AMARYLLIS VILLE,2017,307953,Condominium,1586875,1475000
AMARYLLIS VILLE,2017,307990,Condominium,1494000,1440000
AMBER POINT,2017,439845,Condominium,2193333.333,2200000
AMBER RESIDENCES,2017,439888,Condominium,1908722.222,1800000
AMBER SKYE,2017,439853,Apartment,2239876.306,2255735
AMPAS APARTMENTS,2017,329506,Apartment,1250000,1250000
APARTMENT 8,2017,358461,Apartment,2691249.75,2606285
APLETON VIEW,2017,308323,Apartment,1680000,1680000
APOLLO GARDENS,2017,487004,Apartment,1770000,1770000
APOLLO GARDENS,2017,487143,Semi-Detached House,3500000,3500000
APOLLO GARDENS,2017,487299,Semi-Detached House,4280000,4280000
APOLLO GARDENS,2017,487340,Terrace House,2680000,2680000
AQUARINE GARDENS,2017,455225,Apartment,1600000,1600000
AQUARIUS BY THE PARK,2017,478927,Condominium,1147500,1015000
AQUARIUS BY THE PARK,2017,478928,Condominium,1100000,1100000
AQUARIUS BY THE PARK,2017,478929,Condominium,1103333.333,1090000
AQUARIUS BY THE PARK,2017,478930,Condominium,878600,828000
AQUARIUS BY THE PARK,2017,478931,Condominium,874000,790000
AQUARIUS BY THE PARK,2017,478932,Condominium,991666.6667,970000
AQUARIUS BY THE PARK,2017,478933,Condominium,852962.6667,805000
AQUARIUS BY THE PARK,2017,478935,Condominium,920000,920000
AQUARIUS BY THE PARK,2017,478936,Condominium,1026000,1050000
AQUENE,2017,426341,Apartment,876896,845000
ARC AT TAMPINES,2017,529599,Executive Condominium,820000,820000
ARCHIPELAGO,2017,479267,Condominium,7.00E+05,7.00E+05
ARCHIPELAGO,2017,479268,Condominium,999250,966000
ARCHIPELAGO,2017,479269,Condominium,695000,695000
ARCHIPELAGO,2017,479270,Condominium,690000,690000
ARCHIPELAGO,2017,479271,Condominium,695000,695000
ARCHIPELAGO,2017,479272,Condominium,822600,710000
ARCHIPELAGO,2017,479275,Condominium,1030000,1030000
ARCHIPELAGO,2017,479277,Condominium,1890000,1890000
ARCHIPELAGO,2017,479278,Condominium,1330000,1380000
ARCHIPELAGO,2017,479279,Condominium,1083000,1083000
ARCHIPELAGO,2017,479282,Condominium,1567500,1567500
ARDISIA GARDENS,2017,535786,Terrace House,1700000,1700000
ARDMORE II,2017,259947,Condominium,5256666.667,5200000
ARDMORE II,2017,259962,Condominium,5430000,5510000
ARDMORE PARK,2017,259955,Condominium,9110000,9300000
ARDMORE PARK,2017,259957,Condominium,8718571.429,8650000
ARDMORE PARK,2017,259959,Condominium,9242857.143,9200000
ARDMORE THREE,2017,259950,Condominium,6878418.704,7040125
ARTHUR 118,2017,439827,Apartment,1441500,1441500
ARTHUR MANSIONS,2017,439829,Condominium,1680000,1680000
ARTRA,2017,158745,Apartment,1561810.099,1439999
ASCENT @ 456,2017,329832,Apartment,740015.7778,769338
ASCENTIA SKY,2017,158748,Condominium,2192857.143,2180000
ASCENTIA SKY,2017,158749,Condominium,1871250,1787500
ASIA GARDENS,2017,89394,Condominium,2250000,2250000
ASPEN HEIGHTS,2017,238307,Condominium,2326866.667,2100000
ASPEN HEIGHTS,2017,238309,Condominium,2073236.364,1960000
ASPEN LINQ,2017,239669,Apartment,799000,799000
ASPEN LOFT,2017,427317,Apartment,1635000,1635000
ASTON LODGE,2017,399116,Apartment,698000,698000
ASTON MANSIONS,2017,398026,Apartment,882142.8571,850000
ASTON MANSIONS,2017,398028,Apartment,920000,920000
ASTON RESIDENCE,2017,509489,Detached House,2040000,2040000
ASTOR,2017,417660,Apartment,870750,867500
ASTOR GREEN,2017,597590,Condominium,1100000,1100000
ASTOR GREEN,2017,597592,Condominium,1500000,1500000
ASTORIA PARK,2017,416826,Condominium,929000,965000
ASTORIA PARK,2017,416827,Condominium,1056269.714,1058888
ASTORIA PARK,2017,416883,Condominium,848400,850000
ASTRID MEADOWS,2017,269257,Condominium,3480000,3480000
ASTRID MEADOWS,2017,269258,Condominium,3150000,3150000
ASTRID MEADOWS,2017,269259,Condominium,4315000,4315000
ASTRID MEADOWS,2017,269262,Condominium,5823333.333,6350000
ASTRID MEADOWS,2017,269264,Condominium,3537500,3537500
ASTRID MEADOWS,2017,269265,Condominium,2400000,2400000
ASTRIDVILLE,2017,268622,Condominium,2700000,2700000
ATELIER VILLAS,2017,786309,Terrace House,1980000,1980000
ATRIUM RESIDENCES,2017,398410,Apartment,980000,980000
ATRIUM RESIDENCES,2017,398412,Apartment,1246666.667,1300000
ATRIUM RESIDENCES,2017,398416,Apartment,1168000,1168000
ATRIUM RESIDENCES,2017,398419,Apartment,928000,928000
ATTITUDE AT KIM YAM,2017,239319,Apartment,8.00E+05,8.00E+05
AURALIS,2017,423423,Apartment,650000,650000
AURALIS,2017,429081,Apartment,774666.6667,724000
AUSTVILLE RESIDENCES,2017,544804,Executive Condominium,808000,808000
AUSTVILLE RESIDENCES,2017,544805,Executive Condominium,808000,808000
AVA TOWERS,2017,329949,Apartment,1135500,1129000
AVALON,2017,259985,Condominium,3610000,3610000
AVALON,2017,259986,Condominium,1850000,1850000
AVANT PARC,2017,757111,Terrace House,2418000,2418000
AVILA GARDENS,2017,509732,Condominium,860000,860000
AVILA GARDENS,2017,509733,Condominium,871000,9.00E+05
AVILA GARDENS,2017,509734,Condominium,821000,768000
AVILA GARDENS,2017,509735,Condominium,933333.3333,930000
AVILA GARDENS,2017,509736,Condominium,718800,718800
AVILA GARDENS,2017,509737,Condominium,776000,540000
AVILA TERRACE,2017,508548,Terrace House,2280000,2280000
AVILA TERRACE,2017,508562,Terrace House,2035000,2035000
AVILA TERRACE,2017,508566,Terrace House,2650000,2650000
AVILA TERRACE,2017,508571,Terrace House,2020000,2020000
AVILA TERRACE,2017,508572,Terrace House,2050000,2050000
AVILA TERRACE,2017,508637,Terrace House,2350000,2350000
AVILA TERRACE,2017,508643,Terrace House,2250000,2250000
AVON PARK,2017,357741,Condominium,1512500,1512500
AXIS @ SIGLAP,2017,458950,Apartment,1125000,1125000
AZALEA PARK CONDOMINIUM,2017,509727,Condominium,1038000,1038000
AZALEA PARK CONDOMINIUM,2017,509728,Condominium,1200000,1200000
AZALEA PARK CONDOMINIUM,2017,509729,Condominium,998750,955000
AZALEA PARK CONDOMINIUM,2017,509731,Condominium,1110000,1150000
BAGNALL COURT,2017,466618,Condominium,1070000,1070000
BALCON EAST,2017,466519,Apartment,620000,620000
BALESTIER PLAZA,2017,329802,Apartment,1214000,1.00E+06
BALESTIER POINT,2017,329727,Apartment,1055000,1055000
BALESTIER REGENCY,2017,329505,Apartment,1410000,1410000
BALLOTA PARK CONDOMINIUM,2017,507079,Condominium,945500,947500
BALLOTA PARK CONDOMINIUM,2017,507080,Condominium,840000,840000
BALLOTA PARK CONDOMINIUM,2017,507082,Condominium,908200,960000
BALLOTA PARK CONDOMINIUM,2017,507084,Condominium,935000,935000
BALLOTA PARK CONDOMINIUM,2017,507085,Condominium,1230000,1230000
BALLOTA PARK CONDOMINIUM,2017,507086,Condominium,1208000,1208000
BALMORAL 8,2017,259792,Condominium,3166666.667,2900000
BALMORAL GATE,2017,259811,Condominium,2137500,2200000
BALMORAL HILLS,2017,259844,Condominium,3450000,3450000
BALMORAL HILLS,2017,259845,Condominium,3709000,3709000
BALMORAL PLAZA,2017,259708,Apartment,2400000,2400000
BALMORAL POINT,2017,259806,Apartment,3750000,3750000
BALMORAL RESIDENCES,2017,259905,Condominium,2914000,2914000
BALMY COURT,2017,388105,Apartment,859000,859000
BAN GUAN PARK,2017,275792,Semi-Detached House,4250000,4250000
BAN GUAN PARK,2017,279260,Semi-Detached House,5398880,5398880
BAN GUAN PARK,2017,279282,Semi-Detached House,6250000,6250000
BAN GUAN PARK,2017,279428,Semi-Detached House,5100000,5100000
BANYAN PARK,2017,119784,Terrace House,3030000,3030000
BANYAN PARK,2017,119789,Terrace House,2650000,2650000
BARKER TERRACES,2017,307498,Terrace House,3225000,3225000
BAROSSA GARDENS,2017,118609,Terrace House,2115000,2115000
BARTLEY RESIDENCES,2017,536558,Apartment,1525000,1525000
BARTLEY RESIDENCES,2017,536559,Apartment,1486000,1190000
BARTLEY RESIDENCES,2017,536560,Apartment,1050571.429,1090000
BARTLEY RESIDENCES,2017,536561,Apartment,1060000,1060000
BARTLEY RESIDENCES,2017,536562,Apartment,1179500,1066500
BARTLEY RESIDENCES,2017,536563,Apartment,1155625,997500
BARTLEY RESIDENCES,2017,536564,Apartment,1372314.667,1265000
BARTLEY RESIDENCES,2017,536565,Apartment,1159333.333,1288000
BARTLEY RIDGE,2017,368055,Condominium,1068000,1068000
BARTLEY RIDGE,2017,368057,Condominium,1138133.333,1070000
BARTLEY RIDGE,2017,368058,Condominium,1267944,1304944
BARTLEY RIDGE,2017,368061,Condominium,1425000,1415000
BARTLEY RIDGE,2017,368062,Condominium,883428.5714,695000
BARTLEY RIDGE,2017,368063,Condominium,803200,705000
BARTLEY RISE ESTATE,2017,538005,Semi-Detached House,4100000,4100000
BARTLEY RISE ESTATE,2017,539099,Terrace House,1925000,1925000
BARTLEY VILLAS,2017,538436,Terrace House,1760000,1760000
BARTLEY VILLAS,2017,538444,Terrace House,1800000,1800000
BASSEIN COURT,2017,309836,Apartment,1200000,1200000
BAYOU RESIDENCE,2017,534957,Apartment,845000,845000
BAYSHORE PARK,2017,469977,Condominium,1246444.444,1100000
BAYSHORE PARK,2017,469978,Condominium,740000,740000
BAYSHORE PARK,2017,469981,Condominium,839944,839944
BAYSHORE PARK,2017,469982,Condominium,1036333.333,804000
BAYSHORE PARK,2017,469983,Condominium,820984,810000
BAYSHORE PARK,2017,469984,Condominium,1234377.6,788888
BAYSHORE PARK,2017,469985,Condominium,1218933.333,1050000
BAYWATER,2017,479240,Condominium,1190000,1190000
BAYWATER,2017,479241,Condominium,1650000,1650000
BAYWATER,2017,479242,Condominium,1043666.667,968000
BAYWATER,2017,479243,Condominium,1030000,1030000
BEACON HEIGHTS,2017,328689,Condominium,1002055.5,959000
BEAU VISTA,2017,419159,Terrace House,1720000,1720000
BEAU VISTA,2017,419160,Terrace House,1760000,1760000
BEAUTY GARDEN,2017,546658,Terrace House,1830000,1830000
BEAUTY WORLD CENTRE,2017,588177,Apartment,1450000,1450000
BEAVERTON COURT,2017,276958,Condominium,2550000,2550000
BEDOK COURT,2017,469296,Condominium,1252888.889,1400000
BEDOK COURT,2017,469297,Condominium,1560750,1587500
BEDOK COURT,2017,469298,Condominium,1557500,1565000
BEDOK GROVE,2017,486075,Terrace House,3600000,3600000
BEDOK GROVE,2017,486084,Terrace House,2780000,2780000
BEDOK PESARI,2017,487086,Terrace House,3500000,3500000
BEDOK PESARI,2017,487618,Terrace House,2600000,2600000
BEDOK RESIDENCES,2017,465494,Apartment,1200000,1200000
BEDOK RESIDENCES,2017,465495,Apartment,2015753.333,1540000
BEDOK RESIDENCES,2017,465496,Apartment,2017500,1755000
BEDOK RESIDENCES,2017,465498,Apartment,1339085,885000
BEDOK RESIDENCES,2017,465499,Apartment,1020000,880000
BEDOK RESIDENCES,2017,465500,Apartment,1575000,935000
BEDOK RESIDENCES,2017,465501,Apartment,857722,857944
BEDOK RIA,2017,488833,Terrace House,2500000,2500000
BEDOK RIA,2017,489792,Terrace House,2568888,2568888
BEDOK RIA,2017,489851,Terrace House,2320000,2320000
BEDOK RIA,2017,489920,Semi-Detached House,3880000,3880000
BEDOKVILLE,2017,468180,Semi-Detached House,3150000,3150000
BEDOKVILLE,2017,468233,Semi-Detached House,3120000,3120000
BEDOKVILLE,2017,468270,Semi-Detached House,4550000,4550000
BEDOKVILLE,2017,468530,Semi-Detached House,4608888,4608888
BELGRAVIA PARK,2017,806928,Semi-Detached House,3650000,3650000
BELGRAVIA VILLAS,2017,804605,Semi-Detached House,3670230,3670230
BELGRAVIA VILLAS,2017,804606,Semi-Detached House,3660730,3660730
BELGRAVIA VILLAS,2017,804610,Semi-Detached House,3536380,3536380
BELGRAVIA VILLAS,2017,804611,Semi-Detached House,3489920,3489920
BELGRAVIA VILLAS,2017,804612,Semi-Detached House,3489920,3489920
BELGRAVIA VILLAS,2017,804625,Terrace House,2695690,2695690
BELGRAVIA VILLAS,2017,804626,Terrace House,2850000,2850000
BELGRAVIA VILLAS,2017,804627,Terrace House,2874630,2874630
BELGRAVIA VILLAS,2017,804628,Terrace House,2739110,2739110
BELGRAVIA VILLAS,2017,804629,Terrace House,2724300,2724300
BELGRAVIA VILLAS,2017,804631,Terrace House,2769840,2769840
BELGRAVIA VILLAS,2017,804635,Terrace House,2904500,2904500
BELGRAVIA VILLAS,2017,804636,Terrace House,2842700,2842700
BELGRAVIA VILLAS,2017,804637,Terrace House,2904500,2904500
BELGRAVIA VILLAS,2017,804639,Terrace House,3086020,3086020
BELGRAVIA VILLAS,2017,804642,Terrace House,2800000,2800000
BELGRAVIA VILLAS,2017,804643,Terrace House,2800000,2800000
BELGRAVIA VILLAS,2017,804645,Terrace House,3074030,3074030
BELGRAVIA VILLAS,2017,804647,Terrace House,3039490,3039490
BELGRAVIA VILLAS,2017,804650,Terrace House,2932420,2932420
BELGRAVIA VILLAS,2017,804651,Terrace House,2842700,2842700
BELGRAVIA VILLAS,2017,804652,Terrace House,2969640,2969640
BELGRAVIA VILLAS,2017,804653,Terrace House,2868650,2868650
BELGRAVIA VILLAS,2017,804655,Terrace House,2751620,2751620
BELGRAVIA VILLAS,2017,804657,Terrace House,2751620,2751620
BELGRAVIA VILLAS,2017,804664,Terrace House,2705000,2705000
BELGRAVIA VILLAS,2017,804665,Terrace House,2700000,2700000
BELGRAVIA VILLAS,2017,804666,Terrace House,2916030,2916030
BELGRAVIA VILLAS,2017,804667,Terrace House,2962580,2962580
BELGRAVIA VILLAS,2017,804670,Terrace House,2807740,2807740
BELGRAVIA VILLAS,2017,804671,Terrace House,2944830,2944830
BELGRAVIA VILLAS,2017,804673,Terrace House,2882170,2882170
BELGRAVIA VILLAS,2017,804674,Terrace House,2910050,2910050
BELGRAVIA VILLAS,2017,804676,Terrace House,3055970,3055970
BELGRAVIA VILLAS,2017,804677,Terrace House,3024130,3024130
BELGRAVIA VILLAS,2017,804678,Terrace House,3134520,3134520
BELGRAVIA VILLAS,2017,804679,Terrace House,3304570,3304570
BELGRAVIA VILLAS,2017,804682,Terrace House,3265530,3265530
BELGRAVIA VILLAS,2017,804684,Terrace House,3166180,3166180
BELGRAVIA VILLAS,2017,804685,Terrace House,3100890,3100890
BELGRAVIA VILLAS,2017,804687,Terrace House,3054120,3054120
BELGRAVIA VILLAS,2017,804688,Terrace House,3107400,3107400
BELGRAVIA VILLAS,2017,804690,Terrace House,2963000,2963000
BELGRAVIA VILLAS,2017,804692,Terrace House,2916350,2916350
BELGRAVIA VILLAS,2017,804693,Terrace House,2854300,2854300
BELGRAVIA VILLAS,2017,804695,Terrace House,2807740,2807740
BELGRAVIA VILLAS,2017,804696,Terrace House,2807740,2807740
BELGRAVIA VILLAS,2017,804697,Terrace House,2700000,2700000
BELGRAVIA VILLAS,2017,804698,Terrace House,2962580,2962580
BELGRAVIA VILLAS,2017,804700,Terrace House,2580000,2580000
BELGRAVIA VILLAS,2017,804701,Terrace House,2580000,2580000
BELGRAVIA VILLAS,2017,804703,Terrace House,2580000,2580000
BELGRAVIA VILLAS,2017,804704,Terrace House,2430000,2430000
BELGRAVIA VILLAS,2017,804707,Terrace House,2630000,2630000
BELGRAVIA VILLAS,2017,804708,Terrace House,2751620,2751620
BELGRAVIA VILLAS,2017,804714,Terrace House,2944830,2944830
BELGRAVIA VILLAS,2017,804715,Terrace House,2992300,2992300
BELGRAVIA VILLAS,2017,804716,Terrace House,3024000,3024000
BELGRAVIA VILLAS,2017,804717,Terrace House,3088070,3088070
BELGRAVIA VILLAS,2017,804718,Terrace House,3020780,3020780
BELGRAVIA VILLAS,2017,804719,Terrace House,3002970,3002970
BELGRAVIA VILLAS,2017,804720,Terrace House,3068250,3068250
BELGRAVIA VILLAS,2017,804721,Terrace House,3068250,3068250
BELLA CASITA,2017,438610,Apartment,940000,940000
BELLE VUE RESIDENCES,2017,238590,Condominium,4300000,4300000
BELLE VUE RESIDENCES,2017,238594,Condominium,3758300,3758300
BELLE VUE RESIDENCES,2017,238595,Condominium,3946033.333,4153100
BELLE VUE RESIDENCES,2017,238596,Condominium,4500000,4500000
BELLE VUE RESIDENCES,2017,238599,Condominium,4560000,4560000
BELLERIVE,2017,258711,Apartment,2235000,2250000
BELLEWATERS,2017,544649,Executive Condominium,930000,930000
BELLEWATERS,2017,544650,Executive Condominium,1032000,1032000
BELLEWATERS,2017,544652,Executive Condominium,1092000,1092000
BELLEWATERS,2017,544653,Executive Condominium,965000,965000
BELLEWATERS,2017,544654,Executive Condominium,8.00E+05,8.00E+05
BELLEWATERS,2017,544655,Executive Condominium,1060000,1060000
BELLEWATERS,2017,544657,Executive Condominium,1035000,1035000
BELLEWATERS,2017,544658,Executive Condominium,1109000,1109000
BELLEWOODS,2017,739010,Executive Condominium,994771.1111,988020
BELLEWOODS,2017,739011,Executive Condominium,1030930,1023165
BELLEWOODS,2017,739012,Executive Condominium,861795,861795
BELLEWOODS,2017,739013,Executive Condominium,986907.6923,982080
BELLEWOODS,2017,739014,Executive Condominium,987360,978120
BELLEWOODS,2017,739015,Executive Condominium,1002740.833,977585
BELLEWOODS,2017,739016,Executive Condominium,949275,949275
BELLEWOODS,2017,739017,Executive Condominium,1064437.5,1118895
BELLEWOODS,2017,739018,Executive Condominium,1060200,1075950
BELLEWOODS,2017,739019,Executive Condominium,969556.9231,949410
BELLEWOODS,2017,739020,Executive Condominium,951903.0769,949620
BELLEWOODS,2017,739021,Executive Condominium,1030994.444,958000
BELLEZZA @ KATONG,2017,429634,Apartment,1225333.333,1092000
BELMOND GREEN,2017,259801,Condominium,2030000,1880000
BELMOND GREEN,2017,259816,Condominium,2.00E+06,2.00E+06
BELMOND GREEN,2017,259818,Condominium,2295000,2295000
BELMOND GREEN,2017,259819,Condominium,2008600,2023000
BELMONDO VIEW,2017,328369,Apartment,1384000,1383000
BELYSA,2017,519531,Executive Condominium,810000,810000
BEVERLY HILL,2017,249570,Condominium,6566666.667,6600000
BIJOU,2017,119554,Apartment,1251255.182,1072974
BINJAI CREST,2017,587876,Terrace House,1800000,1800000
BINJAI CREST,2017,587877,Terrace House,1830000,1830000
BINJAI CREST,2017,587882,Terrace House,1810000,1810000
BINJAI CREST,2017,587910,Terrace House,2150000,2150000
BINJAI CREST,2017,587911,Terrace House,1960000,1960000
BINJAI CREST,2017,587916,Terrace House,2170000,2170000
BINJAI CREST,2017,587932,Terrace House,2.00E+06,2.00E+06
BINJAI CREST,2017,587943,Terrace House,1900000,1900000
BINJAI CREST,2017,587954,Terrace House,1900000,1900000
BINJAI CREST,2017,588646,Terrace House,1780000,1780000
BINJAI PARK,2017,589825,Apartment,1300000,1300000
BINJAI PARK,2017,589870,Detached House,12500000,12500000
BIRMINGHAM MANSIONS,2017,307682,Apartment,1493333.333,1500000
BISHAN 8,2017,574044,Condominium,1261971.429,1280000
BISHAN 8,2017,574045,Condominium,1196722,1215000
BISHAN LOFT,2017,579819,Executive Condominium,1392857.143,1500000
BISHAN LOFT,2017,579820,Executive Condominium,1378000,1362500
BISHAN PARK CONDOMINIUM,2017,575568,Condominium,1250000,1250000
BISHAN PARK CONDOMINIUM,2017,575569,Condominium,1100000,1070000
BISHAN PARK CONDOMINIUM,2017,575570,Condominium,1140000,1140000
BISHAN PARK CONDOMINIUM,2017,575572,Condominium,1220000,1220000
BISHAN POINT,2017,579653,Condominium,1532088.889,1380000
BLAIR PLAIN CONSERVATION AREA,2017,89955,Terrace House,4750000,4750000
BLEU @ EAST COAST,2017,466580,Condominium,1277000,1277000
BLEU @ EAST COAST,2017,466581,Condominium,1645000,1645000
BLISS LOFT,2017,328933,Apartment,863750,847500
BLISS RESIDENCES,2017,418942,Apartment,1178750,912500
BLISS@KOVAN,2017,546018,Condominium,1480000,1480000
BLISS@KOVAN,2017,546019,Condominium,1419000,1460000
BLISS@KOVAN,2017,546053,Condominium,1535550,1535550
BLISS@KOVAN,2017,546055,Condominium,1580000,1580000
BLISS@KOVAN,2017,546057,Condominium,1600000,1600000
BLOSSOM GARDENS,2017,536592,Terrace House,2950000,2950000
BLOSSOM RESIDENCES,2017,677722,Executive Condominium,896750,896750
BLOSSOM VIEW,2017,398498,Apartment,880000,880000
BLOSSOMS @ WOODLEIGH,2017,357905,Condominium,1652000,1639000
BLOSSOMS @ WOODLEIGH,2017,357907,Condominium,1790000,1675000
BLU CORAL,2017,425562,Condominium,1411000,1200000
BLU CORAL,2017,425565,Condominium,1188000,1188000
BLU CORAL,2017,425602,Condominium,1395000,1395000
BLU CORAL,2017,425603,Condominium,1294000,1294000
BLUE HORIZON,2017,128045,Condominium,1065333.333,1128000
BLUE HORIZON,2017,128046,Condominium,1104714.286,1200000
BLUE HORIZON,2017,128047,Condominium,1172090.909,1178000
BLUE HORIZON,2017,128048,Condominium,1019600,912500
BLUE HORIZON,2017,128049,Condominium,969126.8571,935000
BLUWATERS,2017,506961,Apartment,740000,740000
BLUWATERS,2017,506962,Apartment,974000,974000
BLUWATERS,2017,509439,Apartment,950000,950000
BLUWATERS 2,2017,509456,Condominium,913500,830000
BOATHOUSE RESIDENCES,2017,534042,Condominium,788600,730000
BOATHOUSE RESIDENCES,2017,534043,Condominium,1071000,1125000
BOATHOUSE RESIDENCES,2017,534044,Condominium,1316666.667,1400000
BOATHOUSE RESIDENCES,2017,534046,Condominium,1131296,1145000
BOATHOUSE RESIDENCES,2017,534047,Condominium,774166.6667,760000
BOON COURT,2017,423998,Apartment,1280000,1280000
BOON SING BUILDING,2017,188952,Apartment,1850000,1850000
BOON TECK TOWER,2017,329608,Condominium,1603800,1603800
BOONVIEW,2017,574036,Condominium,1738000,1738000
BOTANIC @ CLUNY PARK,2017,257485,Detached House,7450000,7450000
BOTANIC @ CLUNY PARK,2017,257498,Detached House,6400000,6400000
BOTANIC GARDENS MANSION,2017,257718,Apartment,2628500,2628500
BOTANIC GARDENS MANSION,2017,257722,Apartment,1900000,1900000
BOTANIC GARDENS VIEW,2017,257717,Apartment,2.00E+06,2.00E+06
BOTANIC GARDENS VIEW,2017,257723,Apartment,2450000,2450000
BOTANIC GARDENS VIEW,2017,257724,Apartment,2100000,2100000
BOTANIKA,2017,258853,Apartment,5200000,5200000
BOTANIQUE AT BARTLEY,2017,533872,Condominium,1405067.5,1441000
BOTANIQUE AT BARTLEY,2017,533873,Condominium,1428702.5,1444905
BOTANIQUE AT BARTLEY,2017,533874,Condominium,1461508.333,1465115
BOTANNIA,2017,127647,Condominium,1357450,1432500
BOTANNIA,2017,127649,Condominium,1604361,1424000
BOTANNIA,2017,127651,Condominium,2215000,2215000
BOTANNIA,2017,127720,Condominium,1478000,1478000
BOTANNIA,2017,127721,Condominium,1870000,1870000
BOTANNIA,2017,127722,Condominium,1485000,1485000
BOTANNIA,2017,127723,Condominium,1487472,1470944
BOTANNIA,2017,127724,Condominium,1306200,1380000
BOTANNIA,2017,127725,Condominium,1257000,1257000
BOTANNIA,2017,127726,Condominium,1830000,1830000
BOTANNIA,2017,127727,Condominium,1425000,1425000
